cycle_id,session_id,cycle_number,phase,duration_sec
73,WS-015,3,SWING,35.4
74,WS-015,4,DUMP,27.8
75,WS-015,5,RETURN,33.4
76,WS-016,1,ACQUIRE,27.0
77,WS-016,2,LIFT,32.1
78,WS-016,3,SWING,34.8
79,WS-016,4,DUMP,26.3
80,WS-016,5,RETURN,31.0
81,WS-017,1,ACQUIRE,25.1
82,WS-017,2,LIFT,33.9
83,WS-017,3,SWING,36.7
84,WS-017,4,DUMP,29.0
85,WS-017,5,RETURN,33.5
86,WS-018,1,ACQUIRE,27.4
87,WS-018,2,LIFT,32.9
88,WS-018,3,SWING,30.9
89,WS-018,4,DUMP,28.1
90,WS-018,5,RETURN,29.1
91,WS-019,1,ACQUIRE,36.0
92,WS-019,2,LIFT,30.4
93,WS-019,3,SWING,33.1
94,WS-019,4,DUMP,26.4
95,WS-019,5,RETURN,33.6
96,WS-020,1,ACQUIRE,32.2
97,WS-020,2,LIFT,35.1
98,WS-020,3,SWING,32.9
99,WS-020,4,DUMP,26.6
100,WS-020,5,RETURN,28.5
101,WS-021,1,ACQUIRE,28.1
102,WS-021,2,LIFT,26.1
103,WS-021,3,SWING,28.7
104,WS-021,4,DUMP,29.9
105,WS-021,5,RETURN,27.0
106,WS-022,1,ACQUIRE,27.3
107,WS-022,2,LIFT,32.0
108,WS-022,3,SWING,34.2
109,WS-022,4,DUMP,25.5
110,WS-022,5,RETURN,25.4
111,WS-023,1,ACQUIRE,28.7
112,WS-023,2,LIFT,25.6
113,WS-023,3,SWING,25.1
114,WS-023,4,DUMP,34.3
115,WS-023,5,RETURN,34.2
116,WS-024,1,ACQUIRE,34.8
117,WS-024,2,LIFT,25.2
118,WS-024,3,SWING,29.3
119,WS-024,4,DUMP,25.5
120,WS-024,5,RETURN,34.7
121,WS-025,1,ACQUIRE,29.5
122,WS-025,2,LIFT,36.6
123,WS-025,3,SWING,29.5
124,WS-025,4,DUMP,26.3
125,WS-025,5,RETURN,36.1
126,WS-026,1,ACQUIRE,30.5
127,WS-026,2,LIFT,33.5
128,WS-026,3,SWING,31.3
129,WS-026,4,DUMP,28.6
130,WS-026,5,RETURN,27.6
131,WS-027,1,ACQUIRE,26.2
132,WS-027,2,LIFT,34.7
133,WS-027,3,SWING,26.8
134,WS-027,4,DUMP,32.0
135,WS-027,5,RETURN,29.6
136,WS-028,1,ACQUIRE,36.2
137,WS-028,2,LIFT,32.5
138,WS-028,3,SWING,32.7
139,WS-028,4,DUMP,32.0
140,WS-028,5,RETURN,26.2
141,WS-029,1,ACQUIRE,25.9
142,WS-029,2,LIFT,33.2
143,WS-029,3,SWING,35.2
144,WS-029,4,DUMP,32.1
145,WS-029,5,RETURN,36.6
146,WS-030,1,ACQUIRE,34.8
147,WS-030,2,LIFT,34.7
148,WS-030,3,SWING,27.3
149,WS-030,4,DUMP,32.0
150,WS-030,5,RETURN,32.5
151,WS-031,1,ACQUIRE,29.6
152,WS-031,2,LIFT,37.0
153,WS-031,3,SWING,25.9
154,WS-031,4,DUMP,25.9
155,WS-031,5,RETURN,36.2
156,WS-032,1,ACQUIRE,33.7
157,WS-032,2,LIFT,34.1
158,WS-032,3,SWING,30.0
159,WS-032,4,DUMP,25.2
160,WS-032,5,RETURN,35.0
161,WS-033,1,ACQUIRE,26.7
162,WS-033,2,LIFT,28.8
163,WS-033,3,SWING,27.7
164,WS-033,4,DUMP,27.3
165,WS-033,5,RETURN,35.6
166,WS-034,1,ACQUIRE,33.1
167,WS-034,2,LIFT,25.4
168,WS-034,3,SWING,32.5
169,WS-034,4,DUMP,27.0
170,WS-034,5,RETURN,29.2
171,WS-035,1,ACQUIRE,36.5
172,WS-035,2,LIFT,36.8
173,WS-035,3,SWING,32.8
174,WS-035,4,DUMP,34.5
175,WS-035,5,RETURN,34.4
176,WS-036,1,ACQUIRE,32.9
177,WS-036,2,LIFT,32.0
178,WS-036,3,SWING,36.2
179,WS-036,4,DUMP,25.4
180,WS-036,5,RETURN,35.9
181,WS-037,1,ACQUIRE,35.7
182,WS-037,2,LIFT,36.7
183,WS-037,3,SWING,34.0
184,WS-037,4,DUMP,33.5
185,WS-037,5,RETURN,36.8
186,WS-038,1,ACQUIRE,28.8
187,WS-038,2,LIFT,31.8
188,WS-038,3,SWING,36.4
189,WS-038,4,DUMP,29.1
190,WS-038,5,RETURN,36.4
191,WS-039,1,ACQUIRE,28.9
192,WS-039,2,LIFT,36.9
193,WS-039,3,SWING,26.9
194,WS-039,4,DUMP,32.6
195,WS-039,5,RETURN,32.1
196,WS-040,1,ACQUIRE,28.7
197,WS-040,2,LIFT,27.6
198,WS-040,3,SWING,27.2
199,WS-040,4,DUMP,29.0
200,WS-040,5,RETURN,31.0
201,WS-041,1,ACQUIRE,26.6
202,WS-041,2,LIFT,33.4
203,WS-041,3,SWING,25.1
204,WS-041,4,DUMP,25.7
205,WS-041,5,RETURN,34.5
206,WS-042,1,ACQUIRE,35.3
207,WS-042,2,LIFT,34.2
208,WS-042,3,SWING,31.2
209,WS-042,4,DUMP,25.2
210,WS-042,5,RETURN,31.1
211,WS-043,1,ACQUIRE,27.2
212,WS-043,2,LIFT,31.0
213,WS-043,3,SWING,32.9
214,WS-043,4,DUMP,29.8
215,WS-043,5,RETURN,33.5
216,WS-044,1,ACQUIRE,32.8
217,WS-044,2,LIFT,31.0
218,WS-044,3,SWING,36.7
219,WS-044,4,DUMP,29.9
220,WS-044,5,RETURN,27.3
221,WS-045,1,ACQUIRE,31.5
222,WS-045,2,LIFT,29.5
223,WS-045,3,SWING,34.4
224,WS-045,4,DUMP,34.0
225,WS-045,5,RETURN,32.3
226,WS-046,1,ACQUIRE,29.1
227,WS-046,2,LIFT,27.8
228,WS-046,3,SWING,35.4
229,WS-046,4,DUMP,36.0
230,WS-046,5,RETURN,33.8
231,WS-047,1,ACQUIRE,26.8
232,WS-047,2,LIFT,34.5
233,WS-047,3,SWING,29.4
234,WS-047,4,DUMP,25.0
235,WS-047,5,RETURN,31.5
236,WS-048,1,ACQUIRE,36.9
237,WS-048,2,LIFT,27.7
238,WS-048,3,SWING,30.4
239,WS-048,4,DUMP,32.6
240,WS-048,5,RETURN,30.3
241,WS-049,1,ACQUIRE,32.2
242,WS-049,2,LIFT,25.7
243,WS-049,3,SWING,33.6
244,WS-049,4,DUMP,36.6
245,WS-049,5,RETURN,30.2
246,WS-050,1,ACQUIRE,28.0
247,WS-050,2,LIFT,28.2
248,WS-050,3,SWING,32.3
249,WS-050,4,DUMP,25.3
250,WS-050,5,RETURN,30.4
251,WS-051,1,ACQUIRE,28.5
252,WS-051,2,LIFT,32.7
253,WS-051,3,SWING,33.9
254,WS-051,4,DUMP,30.9
255,WS-051,5,RETURN,25.4
256,WS-052,1,ACQUIRE,35.8
257,WS-052,2,LIFT,29.9
258,WS-052,3,SWING,36.4
259,WS-052,4,DUMP,30.5
260,WS-052,5,RETURN,27.5
261,WS-053,1,ACQUIRE,26.8
262,WS-053,2,LIFT,34.5
263,WS-053,3,SWING,28.7
264,WS-053,4,DUMP,35.3
265,WS-053,5,RETURN,25.8
266,WS-054,1,ACQUIRE,35.7
267,WS-054,2,LIFT,34.6
268,WS-054,3,SWING,28.2
269,WS-054,4,DUMP,34.3
270,WS-054,5,RETURN,35.8
271,WS-055,1,ACQUIRE,36.2
272,WS-055,2,LIFT,26.1
273,WS-055,3,SWING,33.7
274,WS-055,4,DUMP,32.1
275,WS-055,5,RETURN,27.5
276,WS-056,1,ACQUIRE,26.6
277,WS-056,2,LIFT,29.8
278,WS-056,3,SWING,36.9
279,WS-056,4,DUMP,27.6
280,WS-056,5,RETURN,35.5
281,WS-057,1,ACQUIRE,35.4
282,WS-057,2,LIFT,30.4
283,WS-057,3,SWING,34.9
284,WS-057,4,DUMP,29.9
285,WS-057,5,RETURN,32.3
286,WS-058,1,ACQUIRE,31.0
287,WS-058,2,LIFT,30.8
288,WS-058,3,SWING,29.7
289,WS-058,4,DUMP,31.5
290,WS-058,5,RETURN,33.2
291,WS-059,1,ACQUIRE,32.5
292,WS-059,2,LIFT,31.5
293,WS-059,3,SWING,36.7
294,WS-059,4,DUMP,36.7
295,WS-059,5,RETURN,35.1
296,WS-060,1,ACQUIRE,31.5
297,WS-060,2,LIFT,26.3
298,WS-060,3,SWING,25.4
299,WS-060,4,DUMP,26.3
300,WS-060,5,RETURN,31.9
301,WS-061,1,ACQUIRE,32.9
302,WS-061,2,LIFT,31.9
303,WS-061,3,SWING,32.7
304,WS-061,4,DUMP,29.3
305,WS-061,5,RETURN,25.4
306,WS-062,1,ACQUIRE,30.3
307,WS-062,2,LIFT,25.3
308,WS-062,3,SWING,27.4
309,WS-062,4,DUMP,34.9
310,WS-062,5,RETURN,30.6
311,WS-063,1,ACQUIRE,31.0
312,WS-063,2,LIFT,27.4
313,WS-063,3,SWING,30.8
314,WS-063,4,DUMP,28.7
315,WS-063,5,RETURN,29.5
316,WS-064,1,ACQUIRE,31.4
317,WS-064,2,LIFT,28.1
318,WS-064,3,SWING,30.1
319,WS-064,4,DUMP,28.7
320,WS-064,5,RETURN,35.2
321,WS-065,1,ACQUIRE,36.0
322,WS-065,2,LIFT,28.5
323,WS-065,3,SWING,29.5
324,WS-065,4,DUMP,26.6
325,WS-065,5,RETURN,34.2
326,WS-066,1,ACQUIRE,36.6
327,WS-066,2,LIFT,29.6
328,WS-066,3,SWING,33.3
329,WS-066,4,DUMP,33.5
330,WS-066,5,RETURN,27.5
331,WS-067,1,ACQUIRE,34.6
332,WS-067,2,LIFT,31.2
333,WS-067,3,SWING,28.5
334,WS-067,4,DUMP,27.5
335,WS-067,5,RETURN,28.6
336,WS-068,1,ACQUIRE,32.7
337,WS-068,2,LIFT,27.7
338,WS-068,3,SWING,28.0
339,WS-068,4,DUMP,25.2
340,WS-068,5,RETURN,29.0
341,WS-069,1,ACQUIRE,36.1
342,WS-069,2,LIFT,32.9
343,WS-069,3,SWING,32.7
344,WS-069,4,DUMP,37.0
345,WS-069,5,RETURN,27.7
346,WS-070,1,ACQUIRE,30.1
347,WS-070,2,LIFT,25.1
348,WS-070,3,SWING,28.2
349,WS-070,4,DUMP,31.1
350,WS-070,5,RETURN,30.2
351,WS-071,1,ACQUIRE,27.6
352,WS-071,2,LIFT,25.6
353,WS-071,3,SWING,32.2
354,WS-071,4,DUMP,30.2
355,WS-071,5,RETURN,32.9
356,WS-072,1,ACQUIRE,27.7
357,WS-072,2,LIFT,26.5
358,WS-072,3,SWING,29.3
359,WS-072,4,DUMP,25.4
360,WS-072,5,RETURN,27.6
361,WS-073,1,ACQUIRE,33.6
362,WS-073,2,LIFT,25.6
363,WS-073,3,SWING,35.4
364,WS-073,4,DUMP,26.7
365,WS-073,5,RETURN,32.5
366,WS-074,1,ACQUIRE,31.7
367,WS-074,2,LIFT,29.1
368,WS-074,3,SWING,27.5
369,WS-074,4,DUMP,26.7
370,WS-074,5,RETURN,35.5
371,WS-075,1,ACQUIRE,29.3
372,WS-075,2,LIFT,34.2
373,WS-075,3,SWING,34.5
374,WS-075,4,DUMP,28.8
375,WS-075,5,RETURN,25.7
376,WS-076,1,ACQUIRE,35.1
377,WS-076,2,LIFT,27.9
378,WS-076,3,SWING,31.8
379,WS-076,4,DUMP,33.0
380,WS-076,5,RETURN,26.0
381,WS-077,1,ACQUIRE,25.6
382,WS-077,2,LIFT,32.0
383,WS-077,3,SWING,33.3
384,WS-077,4,DUMP,28.7
385,WS-077,5,RETURN,35.6
386,WS-078,1,ACQUIRE,30.3
387,WS-078,2,LIFT,31.9
388,WS-078,3,SWING,32.2
389,WS-078,4,DUMP,26.0
390,WS-078,5,RETURN,34.7
391,WS-079,1,ACQUIRE,26.0
392,WS-079,2,LIFT,33.7
393,WS-079,3,SWING,26.1
394,WS-079,4,DUMP,28.0
395,WS-079,5,RETURN,29.0
396,WS-080,1,ACQUIRE,31.1
397,WS-080,2,LIFT,27.2
398,WS-080,3,SWING,35.0
399,WS-080,4,DUMP,29.8
400,WS-080,5,RETURN,27.3
401,WS-081,1,ACQUIRE,30.9
402,WS-081,2,LIFT,28.7
403,WS-081,3,SWING,32.4
404,WS-081,4,DUMP,30.2
405,WS-081,5,RETURN,35.2
406,WS-082,1,ACQUIRE,29.1
407,WS-082,2,LIFT,34.4
408,WS-082,3,SWING,28.6
409,WS-082,4,DUMP,28.4
410,WS-082,5,RETURN,31.4
411,WS-083,1,ACQUIRE,30.3
412,WS-083,2,LIFT,28.4
413,WS-083,3,SWING,27.0
414,WS-083,4,DUMP,25.2
415,WS-083,5,RETURN,34.5
416,WS-084,1,ACQUIRE,26.3
417,WS-084,2,LIFT,25.9
418,WS-084,3,SWING,28.4
419,WS-084,4,DUMP,34.1
420,WS-084,5,RETURN,33.8
421,WS-085,1,ACQUIRE,26.3
422,WS-085,2,LIFT,34.7
423,WS-085,3,SWING,29.2
424,WS-085,4,DUMP,35.9
425,WS-085,5,RETURN,28.3
426,WS-086,1,ACQUIRE,27.7
427,WS-086,2,LIFT,27.2
428,WS-086,3,SWING,29.1
429,WS-086,4,DUMP,34.5
430,WS-086,5,RETURN,31.4
431,WS-087,1,ACQUIRE,33.8
432,WS-087,2,LIFT,32.2
433,WS-087,3,SWING,27.2
434,WS-087,4,DUMP,28.9
435,WS-087,5,RETURN,34.5
436,WS-088,1,ACQUIRE,32.0
437,WS-088,2,LIFT,27.5
438,WS-088,3,SWING,28.7
439,WS-088,4,DUMP,25.4
440,WS-088,5,RETURN,30.2
441,WS-089,1,ACQUIRE,33.3
442,WS-089,2,LIFT,32.8
443,WS-089,3,SWING,33.3
444,WS-089,4,DUMP,35.2
445,WS-089,5,RETURN,25.1
446,WS-090,1,ACQUIRE,28.4
447,WS-090,2,LIFT,32.2
448,WS-090,3,SWING,29.2
449,WS-090,4,DUMP,30.6
450,WS-090,5,RETURN,33.3
451,WS-091,1,ACQUIRE,28.3
452,WS-091,2,LIFT,25.6
453,WS-091,3,SWING,30.1
454,WS-091,4,DUMP,28.0
455,WS-091,5,RETURN,27.6
456,WS-092,1,ACQUIRE,25.7
457,WS-092,2,LIFT,31.9
458,WS-092,3,SWING,29.4
459,WS-092,4,DUMP,28.6
460,WS-092,5,RETURN,33.8
461,WS-093,1,ACQUIRE,33.1
462,WS-093,2,LIFT,28.5
463,WS-093,3,SWING,31.9
464,WS-093,4,DUMP,36.8
465,WS-093,5,RETURN,27.7
466,WS-094,1,ACQUIRE,27.8
467,WS-094,2,LIFT,33.2
468,WS-094,3,SWING,35.1
469,WS-094,4,DUMP,36.1
470,WS-094,5,RETURN,27.3
471,WS-095,1,ACQUIRE,26.5
472,WS-095,2,LIFT,34.7
473,WS-095,3,SWING,26.0
474,WS-095,4,DUMP,36.1
475,WS-095,5,RETURN,29.3
476,WS-096,1,ACQUIRE,36.4
477,WS-096,2,LIFT,36.0
478,WS-096,3,SWING,36.9
479,WS-096,4,DUMP,29.9
480,WS-096,5,RETURN,28.3
481,WS-097,1,ACQUIRE,35.9
482,WS-097,2,LIFT,29.2
483,WS-097,3,SWING,31.4
484,WS-097,4,DUMP,33.5
485,WS-097,5,RETURN,27.6
486,WS-098,1,ACQUIRE,31.2
487,WS-098,2,LIFT,36.5
488,WS-098,3,SWING,26.5
489,WS-098,4,DUMP,36.8
490,WS-098,5,RETURN,27.2
491,WS-099,1,ACQUIRE,25.8
492,WS-099,2,LIFT,25.7
493,WS-099,3,SWING,29.2
494,WS-099,4,DUMP,29.4
495,WS-099,5,RETURN,34.9
496,WS-100,1,ACQUIRE,35.5
497,WS-100,2,LIFT,26.9
498,WS-100,3,SWING,27.2
499,WS-100,4,DUMP,35.0
500,WS-100,5,RETURN,29.0
501,WS-101,1,ACQUIRE,35.8
502,WS-101,2,LIFT,32.0
503,WS-101,3,SWING,29.0
504,WS-101,4,DUMP,27.4
505,WS-101,5,RETURN,35.2
506,WS-102,1,ACQUIRE,26.4
507,WS-102,2,LIFT,30.6
508,WS-102,3,SWING,34.3
509,WS-102,4,DUMP,27.8
510,WS-102,5,RETURN,26.9
511,WS-103,1,ACQUIRE,36.2
512,WS-103,2,LIFT,36.7
513,WS-103,3,SWING,36.4
514,WS-103,4,DUMP,30.3
515,WS-103,5,RETURN,36.2
516,WS-104,1,ACQUIRE,32.1
517,WS-104,2,LIFT,33.8
518,WS-104,3,SWING,32.9
519,WS-104,4,DUMP,36.9
520,WS-104,5,RETURN,35.7
521,WS-105,1,ACQUIRE,30.6
522,WS-105,2,LIFT,26.2
523,WS-105,3,SWING,31.7
524,WS-105,4,DUMP,27.8
525,WS-105,5,RETURN,28.9
526,WS-106,1,ACQUIRE,36.8
527,WS-106,2,LIFT,35.4
528,WS-106,3,SWING,29.8
529,WS-106,4,DUMP,31.0
530,WS-106,5,RETURN,31.6
531,WS-107,1,ACQUIRE,34.5
532,WS-107,2,LIFT,30.4
533,WS-107,3,SWING,28.7
534,WS-107,4,DUMP,25.9
535,WS-107,5,RETURN,35.8
536,WS-108,1,ACQUIRE,32.4
537,WS-108,2,LIFT,36.6
538,WS-108,3,SWING,30.1
539,WS-108,4,DUMP,25.2
540,WS-108,5,RETURN,32.4
541,WS-109,1,ACQUIRE,31.0
542,WS-109,2,LIFT,25.3
543,WS-109,3,SWING,34.6
544,WS-109,4,DUMP,28.7
545,WS-109,5,RETURN,25.9
546,WS-110,1,ACQUIRE,29.8
547,WS-110,2,LIFT,30.3
548,WS-110,3,SWING,27.3
549,WS-110,4,DUMP,36.4
550,WS-110,5,RETURN,31.8
551,WS-111,1,ACQUIRE,31.1
552,WS-111,2,LIFT,30.1
553,WS-111,3,SWING,28.0
554,WS-111,4,DUMP,32.5
555,WS-111,5,RETURN,34.0
556,WS-112,1,ACQUIRE,33.9
557,WS-112,2,LIFT,27.0
558,WS-112,3,SWING,28.0
559,WS-112,4,DUMP,29.8
560,WS-112,5,RETURN,26.8
561,WS-113,1,ACQUIRE,36.3
562,WS-113,2,LIFT,31.1
563,WS-113,3,SWING,35.0
564,WS-113,4,DUMP,35.0
565,WS-113,5,RETURN,33.4
566,WS-114,1,ACQUIRE,34.7
567,WS-114,2,LIFT,32.5
568,WS-114,3,SWING,34.9
569,WS-114,4,DUMP,34.4
570,WS-114,5,RETURN,28.2
571,WS-115,1,ACQUIRE,33.4
572,WS-115,2,LIFT,30.3
573,WS-115,3,SWING,32.6
574,WS-115,4,DUMP,34.4
575,WS-115,5,RETURN,36.9
576,WS-116,1,ACQUIRE,29.7
577,WS-116,2,LIFT,29.0
578,WS-116,3,SWING,36.2
579,WS-116,4,DUMP,27.8
580,WS-116,5,RETURN,34.8
581,WS-117,1,ACQUIRE,25.5
582,WS-117,2,LIFT,28.9
583,WS-117,3,SWING,34.9
584,WS-117,4,DUMP,34.0
585,WS-117,5,RETURN,32.8
586,WS-118,1,ACQUIRE,36.6
587,WS-118,2,LIFT,25.1
588,WS-118,3,SWING,33.2
589,WS-118,4,DUMP,27.8
590,WS-118,5,RETURN,32.8
591,WS-119,1,ACQUIRE,36.8
592,WS-119,2,LIFT,28.8
593,WS-119,3,SWING,30.6
594,WS-119,4,DUMP,36.0
595,WS-119,5,RETURN,32.5
596,WS-120,1,ACQUIRE,35.4
597,WS-120,2,LIFT,32.7
598,WS-120,3,SWING,35.9
599,WS-120,4,DUMP,35.4
600,WS-120,5,RETURN,31.9
601,WS-121,1,ACQUIRE,29.8
602,WS-121,2,LIFT,26.6
603,WS-121,3,SWING,30.3
604,WS-121,4,DUMP,25.7
605,WS-121,5,RETURN,36.6
606,WS-122,1,ACQUIRE,32.3
607,WS-122,2,LIFT,26.4
608,WS-122,3,SWING,32.7
609,WS-122,4,DUMP,27.1
610,WS-122,5,RETURN,35.2
611,WS-123,1,ACQUIRE,36.7
612,WS-123,2,LIFT,32.9
613,WS-123,3,SWING,25.9
614,WS-123,4,DUMP,32.8
615,WS-123,5,RETURN,25.5
616,WS-124,1,ACQUIRE,28.7
617,WS-124,2,LIFT,33.9
618,WS-124,3,SWING,28.8
619,WS-124,4,DUMP,36.6
620,WS-124,5,RETURN,36.7
621,WS-125,1,ACQUIRE,28.7
622,WS-125,2,LIFT,36.3
623,WS-125,3,SWING,36.2
624,WS-125,4,DUMP,28.0
625,WS-125,5,RETURN,25.7
626,WS-126,1,ACQUIRE,26.7
627,WS-126,2,LIFT,34.6
628,WS-126,3,SWING,34.6
629,WS-126,4,DUMP,34.4
630,WS-126,5,RETURN,27.1
631,WS-127,1,ACQUIRE,36.7
632,WS-127,2,LIFT,26.9
633,WS-127,3,SWING,34.5
634,WS-127,4,DUMP,31.4
635,WS-127,5,RETURN,25.7
636,WS-128,1,ACQUIRE,34.4
637,WS-128,2,LIFT,30.0
638,WS-128,3,SWING,25.4
639,WS-128,4,DUMP,32.8
640,WS-128,5,RETURN,36.8
641,WS-129,1,ACQUIRE,26.3
642,WS-129,2,LIFT,25.7
643,WS-129,3,SWING,30.1
644,WS-129,4,DUMP,27.0
645,WS-129,5,RETURN,29.4
646,WS-130,1,ACQUIRE,34.7
647,WS-130,2,LIFT,27.4
648,WS-130,3,SWING,27.8
649,WS-130,4,DUMP,33.7
650,WS-130,5,RETURN,32.8
651,WS-131,1,ACQUIRE,31.3
652,WS-131,2,LIFT,28.1
653,WS-131,3,SWING,26.3
654,WS-131,4,DUMP,34.6
655,WS-131,5,RETURN,29.7
656,WS-132,1,ACQUIRE,33.5
657,WS-132,2,LIFT,31.1
658,WS-132,3,SWING,32.2
659,WS-132,4,DUMP,35.7
660,WS-132,5,RETURN,33.2
661,WS-133,1,ACQUIRE,36.7
662,WS-133,2,LIFT,34.8
663,WS-133,3,SWING,34.1
664,WS-133,4,DUMP,33.6
665,WS-133,5,RETURN,32.0
666,WS-134,1,ACQUIRE,27.3
667,WS-134,2,LIFT,29.4
668,WS-134,3,SWING,28.0
669,WS-134,4,DUMP,26.3
670,WS-134,5,RETURN,30.1
671,WS-135,1,ACQUIRE,27.6
672,WS-135,2,LIFT,34.3
673,WS-135,3,SWING,30.2
674,WS-135,4,DUMP,31.7
675,WS-135,5,RETURN,32.8
676,WS-136,1,ACQUIRE,28.9
677,WS-136,2,LIFT,32.1
678,WS-136,3,SWING,32.3
679,WS-136,4,DUMP,36.6
680,WS-136,5,RETURN,25.5
681,WS-137,1,ACQUIRE,29.8
682,WS-137,2,LIFT,32.0
683,WS-137,3,SWING,28.4
684,WS-137,4,DUMP,31.6
685,WS-137,5,RETURN,25.7
686,WS-138,1,ACQUIRE,26.6
687,WS-138,2,LIFT,36.3
688,WS-138,3,SWING,30.4
689,WS-138,4,DUMP,28.3
690,WS-138,5,RETURN,35.0
691,WS-139,1,ACQUIRE,33.3
692,WS-139,2,LIFT,33.2
693,WS-139,3,SWING,33.9
694,WS-139,4,DUMP,30.7
695,WS-139,5,RETURN,25.7
696,WS-140,1,ACQUIRE,29.5
697,WS-140,2,LIFT,33.5
698,WS-140,3,SWING,25.3
699,WS-140,4,DUMP,26.7
700,WS-140,5,RETURN,36.9
701,WS-141,1,ACQUIRE,34.9
702,WS-141,2,LIFT,29.0
703,WS-141,3,SWING,29.4
704,WS-141,4,DUMP,36.8
705,WS-141,5,RETURN,32.8
706,WS-142,1,ACQUIRE,32.5
707,WS-142,2,LIFT,29.3
708,WS-142,3,SWING,30.4
709,WS-142,4,DUMP,26.5
710,WS-142,5,RETURN,25.6
711,WS-143,1,ACQUIRE,31.8
712,WS-143,2,LIFT,28.1
713,WS-143,3,SWING,31.0
714,WS-143,4,DUMP,30.0
715,WS-143,5,RETURN,35.5
716,WS-144,1,ACQUIRE,33.5
717,WS-144,2,LIFT,31.5
718,WS-144,3,SWING,33.8
719,WS-144,4,DUMP,36.2
720,WS-144,5,RETURN,25.6
721,WS-145,1,ACQUIRE,36.0
722,WS-145,2,LIFT,27.2
723,WS-145,3,SWING,29.6
724,WS-145,4,DUMP,36.8
725,WS-145,5,RETURN,34.8
726,WS-146,1,ACQUIRE,30.1
727,WS-146,2,LIFT,28.3
728,WS-146,3,SWING,27.5
729,WS-146,4,DUMP,29.4
730,WS-146,5,RETURN,26.2
731,WS-147,1,ACQUIRE,31.4
732,WS-147,2,LIFT,36.6
733,WS-147,3,SWING,30.5
734,WS-147,4,DUMP,29.3
735,WS-147,5,RETURN,36.1
736,WS-148,1,ACQUIRE,32.7
737,WS-148,2,LIFT,30.2
738,WS-148,3,SWING,34.6
739,WS-148,4,DUMP,36.1
740,WS-148,5,RETURN,34.2
741,WS-149,1,ACQUIRE,29.6
742,WS-149,2,LIFT,28.9
743,WS-149,3,SWING,35.2
744,WS-149,4,DUMP,36.6
745,WS-149,5,RETURN,28.5
746,WS-150,1,ACQUIRE,36.7
747,WS-150,2,LIFT,28.0
748,WS-150,3,SWING,27.8
749,WS-150,4,DUMP,29.4
750,WS-150,5,RETURN,26.5
