reflection_id,session_id,operator_id,text,self_confidence,perceived_performance,hazard_awareness
RF-028,WS-028,OP-008,The task went well and I felt confident. I noticed the person nearby.,73.6,85.8,86.3
RF-029,WS-029,OP-009,The task went well and I felt confident. I noticed the person nearby.,73.1,77.6,78.4
RF-030,WS-030,OP-010,The task went well and I felt confident. I noticed the person nearby.,89.4,67.2,87.8
RF-031,WS-031,OP-011,The task went well and I felt confident. I noticed the person nearby.,67.6,83.1,80.0
RF-032,WS-032,OP-012,The task went well and I felt confident. I noticed the person nearby.,79.2,74.7,73.0
RF-033,WS-033,OP-013,The task went well and I felt confident. I noticed the person nearby.,68.5,80.8,84.6
RF-034,WS-034,OP-014,The task went well and I felt confident. I noticed the person nearby.,62.7,88.4,82.6
RF-035,WS-035,OP-015,The task went well and I felt confident. I noticed the person nearby.,89.3,85.3,78.0
RF-036,WS-036,OP-016,The task went well and I felt confident. I noticed the person nearby.,87.0,67.8,81.1
RF-037,WS-037,OP-017,The task went well and I felt confident. I noticed the person nearby.,86.4,66.5,86.7
RF-038,WS-038,OP-018,The task went well and I felt confident. I noticed the person nearby.,72.1,87.4,73.3
RF-039,WS-039,OP-019,The task went well and I felt confident. I noticed the person nearby.,87.3,82.2,86.5
RF-040,WS-040,OP-020,The task went well and I felt confident. I noticed the person nearby.,65.3,81.6,74.5
RF-041,WS-041,OP-001,The task went well and I felt confident. I noticed the person nearby.,73.4,66.6,70.2
RF-042,WS-042,OP-002,The task went well and I felt confident. I noticed the person nearby.,83.7,80.4,89.6
RF-043,WS-043,OP-003,The task went well and I felt confident. I noticed the person nearby.,85.9,81.4,74.5
RF-044,WS-044,OP-004,The task went well and I felt confident. I noticed the person nearby.,65.4,75.0,84.1
RF-045,WS-045,OP-005,The task went well and I felt confident. I noticed the person nearby.,75.1,81.8,91.7
RF-046,WS-046,OP-006,The task went well and I felt confident. I noticed the person nearby.,71.1,78.9,74.3
RF-047,WS-047,OP-007,The task went well and I felt confident. I noticed the person nearby.,75.2,67.9,79.8
RF-048,WS-048,OP-008,The task went well and I felt confident. I noticed the person nearby.,79.3,88.3,74.1
RF-049,WS-049,OP-009,The task went well and I felt confident. I noticed the person nearby.,88.5,82.3,72.3
RF-050,WS-050,OP-010,The task went well and I felt confident. I noticed the person nearby.,75.9,78.4,79.6
RF-051,WS-051,OP-011,The task went well and I felt confident. I noticed the person nearby.,81.8,91.0,86.4
RF-052,WS-052,OP-012,The task went well and I felt confident. I noticed the person nearby.,62.7,75.6,84.0
RF-053,WS-053,OP-013,The task went well and I felt confident. I noticed the person nearby.,76.5,73.7,73.4
RF-054,WS-054,OP-014,The task went well and I felt confident. I noticed the person nearby.,69.6,70.4,81.6
RF-055,WS-055,OP-015,The task went well and I felt confident. I noticed the person nearby.,73.6,65.5,81.5
RF-056,WS-056,OP-016,The task went well and I felt confident. I noticed the person nearby.,89.5,73.0,74.1
RF-057,WS-057,OP-017,The task went well and I felt confident. I noticed the person nearby.,90.2,86.6,71.9
RF-058,WS-058,OP-018,The task went well and I felt confident. I noticed the person nearby.,71.4,90.4,84.9
RF-059,WS-059,OP-019,The task went well and I felt confident. I noticed the person nearby.,70.9,68.3,70.2
RF-060,WS-060,OP-020,The task went well and I felt confident. I noticed the person nearby.,75.2,84.5,76.4
RF-061,WS-061,OP-001,The task went well and I felt confident. I noticed the person nearby.,83.7,69.2,82.6
RF-062,WS-062,OP-002,The task went well and I felt confident. I noticed the person nearby.,75.2,79.5,80.3
RF-063,WS-063,OP-003,The task went well and I felt confident. I noticed the person nearby.,77.4,79.9,79.2
RF-064,WS-064,OP-004,The task went well and I felt confident. I noticed the person nearby.,69.6,85.9,90.2
RF-065,WS-065,OP-005,The task went well and I felt confident. I noticed the person nearby.,64.2,74.7,89.4
RF-066,WS-066,OP-006,The task went well and I felt confident. I noticed the person nearby.,72.9,83.1,87.1
RF-067,WS-067,OP-007,The task went well and I felt confident. I noticed the person nearby.,71.8,74.5,80.5
RF-068,WS-068,OP-008,The task went well and I felt confident. I noticed the person nearby.,84.5,71.9,77.4
RF-069,WS-069,OP-009,The task went well and I felt confident. I noticed the person nearby.,87.9,71.1,82.0
RF-070,WS-070,OP-010,The task went well and I felt confident. I noticed the person nearby.,68.9,82.9,92.0
RF-071,WS-071,OP-011,The task went well and I felt confident. I noticed the person nearby.,72.7,80.9,72.6
RF-072,WS-072,OP-012,The task went well and I felt confident. I noticed the person nearby.,73.4,79.4,74.2
RF-073,WS-073,OP-013,The task went well and I felt confident. I noticed the person nearby.,86.4,75.1,91.4
RF-074,WS-074,OP-014,The task went well and I felt confident. I noticed the person nearby.,71.0,77.6,71.1
RF-075,WS-075,OP-015,The task went well and I felt confident. I noticed the person nearby.,62.4,73.2,93.3
RF-076,WS-076,OP-016,The task went well and I felt confident. I noticed the person nearby.,65.3,77.3,79.8
RF-077,WS-077,OP-017,The task went well and I felt confident. I noticed the person nearby.,90.4,79.0,80.9
RF-078,WS-078,OP-018,The task went well and I felt confident. I noticed the person nearby.,74.0,70.5,92.9
RF-079,WS-079,OP-019,The task went well and I felt confident. I noticed the person nearby.,71.7,75.2,70.8
RF-080,WS-080,OP-020,The task went well and I felt confident. I noticed the person nearby.,64.2,76.0,75.1
RF-081,WS-081,OP-001,The task went well and I felt confident. I noticed the person nearby.,81.8,91.4,73.6
RF-082,WS-082,OP-002,The task went well and I felt confident. I noticed the person nearby.,69.9,92.9,70.8
RF-083,WS-083,OP-003,The task went well and I felt confident. I noticed the person nearby.,76.4,78.9,83.5
RF-084,WS-084,OP-004,The task went well and I felt confident. I noticed the person nearby.,76.2,86.3,89.4
RF-085,WS-085,OP-005,The task went well and I felt confident. I noticed the person nearby.,78.1,79.0,79.0
RF-086,WS-086,OP-006,The task went well and I felt confident. I noticed the person nearby.,67.3,92.6,93.0
RF-087,WS-087,OP-007,The task went well and I felt confident. I noticed the person nearby.,66.2,89.0,83.1
RF-088,WS-088,OP-008,The task went well and I felt confident. I noticed the person nearby.,74.4,66.8,88.5
RF-089,WS-089,OP-009,The task went well and I felt confident. I noticed the person nearby.,81.3,85.8,88.0
RF-090,WS-090,OP-010,The task went well and I felt confident. I noticed the person nearby.,84.7,78.7,74.5
RF-091,WS-091,OP-011,The task went well and I felt confident. I noticed the person nearby.,64.9,77.6,76.8
RF-092,WS-092,OP-012,The task went well and I felt confident. I noticed the person nearby.,63.0,79.7,71.9
RF-093,WS-093,OP-013,The task went well and I felt confident. I noticed the person nearby.,71.2,81.4,70.5
RF-094,WS-094,OP-014,The task went well and I felt confident. I noticed the person nearby.,74.8,73.9,92.1
RF-095,WS-095,OP-015,The task went well and I felt confident. I noticed the person nearby.,78.2,69.7,84.4
RF-096,WS-096,OP-016,The task went well and I felt confident. I noticed the person nearby.,90.0,85.3,75.9
RF-097,WS-097,OP-017,The task went well and I felt confident. I noticed the person nearby.,91.0,71.0,88.8
RF-098,WS-098,OP-018,The task went well and I felt confident. I noticed the person nearby.,63.9,85.6,77.6
RF-099,WS-099,OP-019,The task went well and I felt confident. I noticed the person nearby.,64.8,83.8,84.7
RF-100,WS-100,OP-020,The task went well and I felt confident. I noticed the person nearby.,64.7,84.4,76.7
RF-101,WS-101,OP-001,The task went well and I felt confident. I noticed the person nearby.,70.7,79.0,77.6
RF-102,WS-102,OP-002,The task went well and I felt confident. I noticed the person nearby.,71.6,68.5,80.3
RF-103,WS-103,OP-003,The task went well and I felt confident. I noticed the person nearby.,62.6,67.1,74.1
RF-104,WS-104,OP-004,The task went well and I felt confident. I noticed the person nearby.,81.0,87.5,80.4
RF-105,WS-105,OP-005,The task went well and I felt confident. I noticed the person nearby.,66.9,87.9,85.7
RF-106,WS-106,OP-006,The task went well and I felt confident. I noticed the person nearby.,66.7,74.4,93.7
RF-107,WS-107,OP-007,The task went well and I felt confident. I noticed the person nearby.,66.4,74.9,83.7
RF-108,WS-108,OP-008,The task went well and I felt confident. I noticed the person nearby.,82.6,66.2,93.7
RF-109,WS-109,OP-009,The task went well and I felt confident. I noticed the person nearby.,72.5,66.7,87.6
RF-110,WS-110,OP-010,The task went well and I felt confident. I noticed the person nearby.,68.2,90.4,76.2
RF-111,WS-111,OP-011,The task went well and I felt confident. I noticed the person nearby.,67.0,77.3,80.5
RF-112,WS-112,OP-012,The task went well and I felt confident. I noticed the person nearby.,86.8,74.8,87.7
RF-113,WS-113,OP-013,The task went well and I felt confident. I noticed the person nearby.,77.3,70.5,93.4
RF-114,WS-114,OP-014,The task went well and I felt confident. I noticed the person nearby.,77.3,92.5,94.8
RF-115,WS-115,OP-015,The task went well and I felt confident. I noticed the person nearby.,84.8,92.0,94.8
RF-116,WS-116,OP-016,The task went well and I felt confident. I noticed the person nearby.,82.8,74.0,87.3
RF-117,WS-117,OP-017,The task went well and I felt confident. I noticed the person nearby.,79.4,83.0,73.7
RF-118,WS-118,OP-018,The task went well and I felt confident. I noticed the person nearby.,66.2,92.1,77.3
RF-119,WS-119,OP-019,The task went well and I felt confident. I noticed the person nearby.,90.2,81.2,77.3
RF-120,WS-120,OP-020,The task went well and I felt confident. I noticed the person nearby.,89.7,85.2,80.2
RF-121,WS-121,OP-001,The task went well and I felt confident. I noticed the person nearby.,70.6,69.0,87.9
RF-122,WS-122,OP-002,The task went well and I felt confident. I noticed the person nearby.,79.0,74.8,73.1
RF-123,WS-123,OP-003,The task went well and I felt confident. I noticed the person nearby.,73.6,77.0,86.5
RF-124,WS-124,OP-004,The task went well and I felt confident. I noticed the person nearby.,83.7,80.4,79.0
RF-125,WS-125,OP-005,The task went well and I felt confident. I noticed the person nearby.,90.6,72.2,89.1
RF-126,WS-126,OP-006,The task went well and I felt confident. I noticed the person nearby.,70.3,88.2,88.6
RF-127,WS-127,OP-007,The task went well and I felt confident. I noticed the person nearby.,73.5,68.2,78.9
RF-128,WS-128,OP-008,The task went well and I felt confident. I noticed the person nearby.,88.7,77.8,78.0
RF-129,WS-129,OP-009,The task went well and I felt confident. I noticed the person nearby.,70.3,89.0,90.6
RF-130,WS-130,OP-010,The task went well and I felt confident. I noticed the person nearby.,86.4,90.5,85.7
RF-131,WS-131,OP-011,The task went well and I felt confident. I noticed the person nearby.,87.4,81.5,71.4
RF-132,WS-132,OP-012,The task went well and I felt confident. I noticed the person nearby.,62.7,88.6,79.0
RF-133,WS-133,OP-013,The task went well and I felt confident. I noticed the person nearby.,78.8,72.6,76.1
RF-134,WS-134,OP-014,The task went well and I felt confident. I noticed the person nearby.,68.4,76.6,90.0
RF-135,WS-135,OP-015,The task went well and I felt confident. I noticed the person nearby.,77.3,82.5,93.6
RF-136,WS-136,OP-016,The task went well and I felt confident. I noticed the person nearby.,64.2,85.6,74.1
RF-137,WS-137,OP-017,The task went well and I felt confident. I noticed the person nearby.,63.1,66.6,80.3
RF-138,WS-138,OP-018,The task went well and I felt confident. I noticed the person nearby.,66.3,75.2,83.1
RF-139,WS-139,OP-019,The task went well and I felt confident. I noticed the person nearby.,64.5,77.4,78.0
RF-140,WS-140,OP-020,The task went well and I felt confident. I noticed the person nearby.,85.8,67.6,94.0
RF-141,WS-141,OP-001,The task went well and I felt confident. I noticed the person nearby.,85.7,90.9,85.0
RF-142,WS-142,OP-002,The task went well and I felt confident. I noticed the person nearby.,75.2,69.2,89.4
RF-143,WS-143,OP-003,The task went well and I felt confident. I noticed the person nearby.,88.5,89.2,73.8
RF-144,WS-144,OP-004,The task went well and I felt confident. I noticed the person nearby.,79.7,72.1,79.4
RF-145,WS-145,OP-005,The task went well and I felt confident. I noticed the person nearby.,88.8,74.5,78.6
RF-146,WS-146,OP-006,The task went well and I felt confident. I noticed the person nearby.,89.4,79.1,73.1
RF-147,WS-147,OP-007,The task went well and I felt confident. I noticed the person nearby.,66.4,66.6,85.4
RF-148,WS-148,OP-008,The task went well and I felt confident. I noticed the person nearby.,89.1,70.2,70.8
RF-149,WS-149,OP-009,The task went well and I felt confident. I noticed the person nearby.,83.1,91.4,72.6
RF-150,WS-150,OP-010,The task went well and I felt confident. I noticed the person nearby.,68.0,89.1,84.4
