session_id,operator_id,machine_id,task_id,actual_time_min,actual_time_hours,overall_score,safety_score,efficiency_score,operator_profile,status
WS-086,OP-006,M-3,T-086,462.0,7.7,84.5,94.7,76.2,normal,Completed
WS-087,OP-007,M-5,T-087,504.0,8.4,88.0,87.2,88.6,normal,Completed
WS-088,OP-008,M-1,T-088,510.0,8.5,80.6,82.6,78.9,normal,Completed
WS-089,OP-009,M-3,T-089,450.0,7.5,76.1,75.9,76.3,normal,Completed
WS-090,OP-010,M-5,T-090,456.0,7.6,88.6,93.2,84.8,normal,Completed
WS-091,OP-011,M-1,T-091,510.0,8.5,74.1,87.8,62.9,normal,Completed
WS-092,OP-012,M-3,T-092,570.0,9.5,70.4,72.7,68.5,normal,Completed
WS-093,OP-013,M-5,T-093,468.0,7.8,81.4,94.0,71.1,normal,Completed
WS-094,OP-014,M-1,T-094,600.0,10.0,83.1,86.8,80.1,normal,Completed
WS-095,OP-015,M-3,T-095,588.0,9.8,73.4,80.6,67.5,normal,Completed
WS-096,OP-016,M-5,T-096,498.0,8.3,85.6,92.8,79.7,normal,Completed
WS-097,OP-017,M-1,T-097,468.0,7.8,76.5,76.0,76.9,normal,Completed
WS-098,OP-018,M-3,T-098,582.0,9.7,79.8,82.6,77.5,normal,Completed
WS-099,OP-019,M-5,T-099,456.0,7.6,77.3,90.8,66.2,normal,Completed
WS-100,OP-020,M-1,T-100,570.0,9.5,72.0,81.1,64.5,normal,Completed
WS-101,OP-001,M-3,T-101,492.0,8.2,66.0,72,61,demo,Completed
WS-102,OP-002,M-5,T-102,468.0,7.8,49.2,58,42,blind_spot,Completed
WS-103,OP-003,M-1,T-103,486.0,8.1,74.6,73.1,75.9,normal,Completed
WS-104,OP-004,M-3,T-104,480.0,8.0,78.7,83.6,74.6,normal,Completed
WS-105,OP-005,M-5,T-105,510.0,8.5,75.4,81.3,70.5,normal,Completed
WS-106,OP-006,M-1,T-106,456.0,7.6,88.0,94.5,82.7,normal,Completed
WS-107,OP-007,M-3,T-107,558.0,9.3,87.0,89.9,84.7,normal,Completed
WS-108,OP-008,M-5,T-108,576.0,9.6,85.9,83.2,88.1,normal,Completed
WS-109,OP-009,M-1,T-109,516.0,8.6,73.3,79.4,68.3,normal,Completed
WS-110,OP-010,M-3,T-110,582.0,9.7,82.2,89.1,76.5,normal,Completed
WS-111,OP-011,M-5,T-111,570.0,9.5,85.2,89.8,81.5,normal,Completed
WS-112,OP-012,M-1,T-112,558.0,9.3,85.4,81.0,89.0,normal,Completed
WS-113,OP-013,M-3,T-113,522.0,8.7,88.6,85.5,91.2,normal,Completed
WS-114,OP-014,M-5,T-114,474.0,7.9,92.5,95.2,90.2,normal,Completed
WS-115,OP-015,M-1,T-115,540.0,9.0,89.2,89.4,89.0,normal,Completed
WS-116,OP-016,M-3,T-116,432.0,7.2,72.3,84.3,62.4,normal,Completed
WS-117,OP-017,M-5,T-117,504.0,8.4,81.9,89.9,75.3,normal,Completed
WS-118,OP-018,M-1,T-118,438.0,7.3,84.6,85.2,84.1,normal,Completed
WS-119,OP-019,M-3,T-119,468.0,7.8,88.3,87.5,88.9,normal,Completed
WS-120,OP-020,M-5,T-120,540.0,9.0,91.5,94.2,89.3,normal,Completed
WS-121,OP-001,M-1,T-121,498.0,8.3,66.0,72,61,demo,Completed
WS-122,OP-002,M-3,T-122,528.0,8.8,49.2,58,42,blind_spot,Completed
WS-123,OP-003,M-5,T-123,474.0,7.9,76.3,78.3,74.6,normal,Completed
WS-124,OP-004,M-1,T-124,474.0,7.9,85.0,93.6,78.0,normal,Completed
WS-125,OP-005,M-3,T-125,534.0,8.9,81.4,94.9,70.4,normal,Completed
WS-126,OP-006,M-5,T-126,480.0,8.0,79.9,84.5,76.2,normal,Completed
WS-127,OP-007,M-1,T-127,540.0,9.0,78.6,79.4,77.9,normal,Completed
WS-128,OP-008,M-3,T-128,510.0,8.5,85.9,92.3,80.7,normal,Completed
WS-129,OP-009,M-5,T-129,570.0,9.5,80.6,78.9,81.9,normal,Completed
WS-130,OP-010,M-1,T-130,468.0,7.8,81.9,93.8,72.1,normal,Completed
WS-131,OP-011,M-3,T-131,522.0,8.7,82.9,75.9,88.6,normal,Completed
WS-132,OP-012,M-5,T-132,588.0,9.8,91.0,93.1,89.2,normal,Completed
WS-133,OP-013,M-1,T-133,492.0,8.2,90.8,95.6,86.8,normal,Completed
WS-134,OP-014,M-3,T-134,600.0,10.0,84.8,89.8,80.8,normal,Completed
WS-135,OP-015,M-5,T-135,450.0,7.5,83.6,79.5,86.9,normal,Completed
WS-136,OP-016,M-1,T-136,516.0,8.6,75.0,84.0,67.6,normal,Completed
WS-137,OP-017,M-3,T-137,504.0,8.4,78.8,84.8,73.9,normal,Completed
WS-138,OP-018,M-5,T-138,498.0,8.3,80.5,87.0,75.1,normal,Completed
WS-139,OP-019,M-1,T-139,570.0,9.5,88.5,95.4,82.9,normal,Completed
WS-140,OP-020,M-3,T-140,594.0,9.9,75.7,78.3,73.6,normal,Completed
WS-141,OP-001,M-5,T-141,486.0,8.1,66.0,72,61,demo,Completed
WS-142,OP-002,M-1,T-142,594.0,9.9,49.2,58,42,blind_spot,Completed
WS-143,OP-003,M-3,T-143,594.0,9.9,81.1,90.9,73.0,normal,Completed
WS-144,OP-004,M-5,T-144,570.0,9.5,84.4,89.5,80.3,normal,Completed
WS-145,OP-005,M-1,T-145,582.0,9.7,81.5,83.2,80.1,normal,Completed
WS-146,OP-006,M-3,T-146,552.0,9.2,85.3,79.1,90.4,normal,Completed
WS-147,OP-007,M-5,T-147,588.0,9.8,82.8,78.3,86.5,normal,Completed
WS-148,OP-008,M-1,T-148,606.0,10.1,89.7,90.9,88.8,normal,Completed
WS-149,OP-009,M-3,T-149,450.0,7.5,78.5,90.2,69.0,normal,Completed
WS-150,OP-010,M-5,T-150,612.0,10.2,83.5,76.8,89.0,normal,Completed
