hazard_id,session_id,hazard_type,severity,response_duration_sec,acknowledged,escalated,resolved
HZ-129,WS-129,proximity,high,2.38,1,0,1
HZ-130,WS-130,proximity,high,2.89,1,0,1
HZ-131,WS-131,proximity,high,2.44,1,0,1
HZ-132,WS-132,proximity,high,2.38,1,0,1
HZ-133,WS-133,proximity,high,2.57,1,0,1
HZ-134,WS-134,proximity,high,2.57,1,0,1
HZ-135,WS-135,proximity,high,2.23,1,0,1
HZ-136,WS-136,proximity,high,2.83,1,0,1
HZ-137,WS-137,proximity,high,2.8,1,0,1
HZ-138,WS-138,proximity,high,2.58,1,0,1
HZ-139,WS-139,proximity,high,2.45,1,0,1
HZ-140,WS-140,proximity,high,2.47,1,0,1
HZ-141,WS-141,proximity,high,3.18,1,1,1
HZ-142,WS-142,proximity,high,3.47,1,1,1
HZ-143,WS-143,proximity,high,2.57,1,0,1
HZ-144,WS-144,proximity,high,2.83,1,0,1
HZ-145,WS-145,proximity,high,2.55,1,0,1
HZ-146,WS-146,proximity,high,2.49,1,0,1
HZ-147,WS-147,proximity,high,2.21,1,0,1
HZ-148,WS-148,proximity,high,2.59,1,0,1
HZ-149,WS-149,proximity,high,2.9,1,0,1
HZ-150,WS-150,proximity,high,2.12,1,0,1
