task_id,operator_id,machine_id,domain,task_type,site,scheduled_start,scheduled_end,status,baseline_duration_min,weather,operator_skill,machine_age_hours,demo_seed,job_options_json
T-093,OP-013,M-5,HAUL_TRANSPORT,Haul Cycle,Site B,08:00,09:00,Upcoming,60,clear,intermediate,4658,,{}
T-094,OP-014,M-1,EXCAVATION_LOAD,Excavation — Trench Digging,Site A,08:00,09:00,Completed,45,clear,intermediate,1720,,{}
T-095,OP-015,M-3,EXCAVATION_LOAD,Material Loading,Site B,08:00,09:00,Completed,60,clear,intermediate,4352,,{}
T-096,OP-016,M-5,HAUL_TRANSPORT,Haul Cycle,Site A,08:00,09:00,Completed,60,clear,intermediate,4326,,{}
T-097,OP-017,M-1,EXCAVATION_LOAD,Excavation — Trench Digging,Site B,08:00,09:00,Upcoming,45,clear,intermediate,5034,,{}
T-098,OP-018,M-3,EXCAVATION_LOAD,Material Loading,Site A,08:00,09:00,Completed,60,clear,intermediate,5534,,{}
T-099,OP-019,M-5,HAUL_TRANSPORT,Haul Cycle,Site B,08:00,09:00,Completed,60,clear,intermediate,3259,,{}
T-100,OP-020,M-1,EXCAVATION_LOAD,Excavation — Trench Digging,Site A,08:00,09:00,Completed,45,clear,intermediate,5732,,{}
T-101,OP-001,M-3,EXCAVATION_LOAD,Material Loading,Site B,08:00,09:00,Upcoming,60,clear,intermediate,1294,,{}
T-102,OP-002,M-5,HAUL_TRANSPORT,Haul Cycle,Site A,08:00,09:00,Completed,60,clear,intermediate,2138,,{}
T-103,OP-003,M-1,EXCAVATION_LOAD,Excavation — Trench Digging,Site B,08:00,09:00,Completed,45,clear,intermediate,5598,,{}
T-104,OP-004,M-3,EXCAVATION_LOAD,Material Loading,Site A,08:00,09:00,Completed,60,clear,intermediate,3385,,{}
T-105,OP-005,M-5,HAUL_TRANSPORT,Haul Cycle,Site B,08:00,09:00,Upcoming,60,clear,intermediate,3986,,{}
T-106,OP-006,M-1,EXCAVATION_LOAD,Excavation — Trench Digging,Site A,08:00,09:00,Completed,45,clear,intermediate,2113,,{}
T-107,OP-007,M-3,EXCAVATION_LOAD,Material Loading,Site B,08:00,09:00,Completed,60,clear,intermediate,3604,,{}
T-108,OP-008,M-5,HAUL_TRANSPORT,Haul Cycle,Site A,08:00,09:00,Completed,60,clear,intermediate,4761,,{}
T-109,OP-009,M-1,EXCAVATION_LOAD,Excavation — Trench Digging,Site B,08:00,09:00,Upcoming,45,clear,intermediate,2495,,{}
T-110,OP-010,M-3,EXCAVATION_LOAD,Material Loading,Site A,08:00,09:00,Completed,60,clear,intermediate,4916,,{}
T-111,OP-011,M-5,HAUL_TRANSPORT,Haul Cycle,Site B,08:00,09:00,Completed,60,clear,intermediate,1226,,{}
T-112,OP-012,M-1,EXCAVATION_LOAD,Excavation — Trench Digging,Site A,08:00,09:00,Completed,45,clear,intermediate,3357,,{}
T-113,OP-013,M-3,EXCAVATION_LOAD,Material Loading,Site B,08:00,09:00,Upcoming,60,clear,intermediate,5300,,{}
T-114,OP-014,M-5,HAUL_TRANSPORT,Haul Cycle,Site A,08:00,09:00,Completed,60,clear,intermediate,2663,,{}
T-115,OP-015,M-1,EXCAVATION_LOAD,Excavation — Trench Digging,Site B,08:00,09:00,Completed,45,clear,intermediate,5358,,{}
T-116,OP-016,M-3,EXCAVATION_LOAD,Material Loading,Site A,08:00,09:00,Completed,60,clear,intermediate,2071,,{}
T-117,OP-017,M-5,HAUL_TRANSPORT,Haul Cycle,Site B,08:00,09:00,Upcoming,60,clear,intermediate,3644,,{}
T-118,OP-018,M-1,EXCAVATION_LOAD,Excavation — Trench Digging,Site A,08:00,09:00,Completed,45,clear,intermediate,5358,,{}
T-119,OP-019,M-3,EXCAVATION_LOAD,Material Loading,Site B,08:00,09:00,Completed,60,clear,intermediate,2829,,{}
T-120,OP-020,M-5,HAUL_TRANSPORT,Haul Cycle,Site A,08:00,09:00,Completed,60,clear,intermediate,2452,,{}
T-121,OP-001,M-1,EXCAVATION_LOAD,Excavation — Trench Digging,Site B,08:00,09:00,Upcoming,45,clear,intermediate,4263,,{}
T-122,OP-002,M-3,EXCAVATION_LOAD,Material Loading,Site A,08:00,09:00,Completed,60,clear,intermediate,2523,,{}
T-123,OP-003,M-5,HAUL_TRANSPORT,Haul Cycle,Site B,08:00,09:00,Completed,60,clear,intermediate,5618,,{}
T-124,OP-004,M-1,EXCAVATION_LOAD,Excavation — Trench Digging,Site A,08:00,09:00,Completed,45,clear,intermediate,5544,,{}
T-125,OP-005,M-3,EXCAVATION_LOAD,Material Loading,Site B,08:00,09:00,Upcoming,60,clear,intermediate,1204,,{}
T-126,OP-006,M-5,HAUL_TRANSPORT,Haul Cycle,Site A,08:00,09:00,Completed,60,clear,intermediate,3855,,{}
T-127,OP-007,M-1,EXCAVATION_LOAD,Excavation — Trench Digging,Site B,08:00,09:00,Completed,45,clear,intermediate,5202,,{}
T-128,OP-008,M-3,EXCAVATION_LOAD,Material Loading,Site A,08:00,09:00,Completed,60,clear,intermediate,1359,,{}
T-129,OP-009,M-5,HAUL_TRANSPORT,Haul Cycle,Site B,08:00,09:00,Upcoming,60,clear,intermediate,2116,,{}
T-130,OP-010,M-1,EXCAVATION_LOAD,Excavation — Trench Digging,Site A,08:00,09:00,Completed,45,clear,intermediate,4173,,{}
T-131,OP-011,M-3,EXCAVATION_LOAD,Material Loading,Site B,08:00,09:00,Completed,60,clear,intermediate,3719,,{}
T-132,OP-012,M-5,HAUL_TRANSPORT,Haul Cycle,Site A,08:00,09:00,Completed,60,clear,intermediate,3161,,{}
T-133,OP-013,M-1,EXCAVATION_LOAD,Excavation — Trench Digging,Site B,08:00,09:00,Upcoming,45,clear,intermediate,1674,,{}
T-134,OP-014,M-3,EXCAVATION_LOAD,Material Loading,Site A,08:00,09:00,Completed,60,clear,intermediate,3173,,{}
T-135,OP-015,M-5,HAUL_TRANSPORT,Haul Cycle,Site B,08:00,09:00,Completed,60,clear,intermediate,5847,,{}
T-136,OP-016,M-1,EXCAVATION_LOAD,Excavation — Trench Digging,Site A,08:00,09:00,Completed,45,clear,intermediate,1845,,{}
T-137,OP-017,M-3,EXCAVATION_LOAD,Material Loading,Site B,08:00,09:00,Upcoming,60,clear,intermediate,1901,,{}
T-138,OP-018,M-5,HAUL_TRANSPORT,Haul Cycle,Site A,08:00,09:00,Completed,60,clear,intermediate,5181,,{}
T-139,OP-019,M-1,EXCAVATION_LOAD,Excavation — Trench Digging,Site B,08:00,09:00,Completed,45,clear,intermediate,1766,,{}
T-140,OP-020,M-3,EXCAVATION_LOAD,Material Loading,Site A,08:00,09:00,Completed,60,clear,intermediate,5563,,{}
T-141,OP-001,M-5,HAUL_TRANSPORT,Haul Cycle,Site B,08:00,09:00,Upcoming,60,clear,intermediate,2230,,{}
T-142,OP-002,M-1,EXCAVATION_LOAD,Excavation — Trench Digging,Site A,08:00,09:00,Completed,45,clear,intermediate,2251,,{}
T-143,OP-003,M-3,EXCAVATION_LOAD,Material Loading,Site B,08:00,09:00,Completed,60,clear,intermediate,5093,,{}
T-144,OP-004,M-5,HAUL_TRANSPORT,Haul Cycle,Site A,08:00,09:00,Completed,60,clear,intermediate,5703,,{}
T-145,OP-005,M-1,EXCAVATION_LOAD,Excavation — Trench Digging,Site B,08:00,09:00,Upcoming,45,clear,intermediate,2552,,{}
T-146,OP-006,M-3,EXCAVATION_LOAD,Material Loading,Site A,08:00,09:00,Completed,60,clear,intermediate,3371,,{}
T-147,OP-007,M-5,HAUL_TRANSPORT,Haul Cycle,Site B,08:00,09:00,Completed,60,clear,intermediate,5522,,{}
T-148,OP-008,M-1,EXCAVATION_LOAD,Excavation — Trench Digging,Site A,08:00,09:00,Completed,45,clear,intermediate,4666,,{}
T-149,OP-009,M-3,EXCAVATION_LOAD,Material Loading,Site B,08:00,09:00,Upcoming,60,clear,intermediate,2935,,{}
T-150,OP-010,M-5,HAUL_TRANSPORT,Haul Cycle,Site A,08:00,09:00,Completed,60,clear,intermediate,5617,,{}
SYN-T-0151,OP-011,M-1,EXCAVATION_LOAD,Excavation — Trench Digging,Site B,08:00,09:00,Completed,45,clear,intermediate,1950,,{}
SYN-T-0152,OP-012,M-3,EXCAVATION_LOAD,Material Loading,Site A,08:00,09:00,Completed,60,clear,intermediate,1987,,{}
SYN-T-0153,OP-013,M-5,HAUL_TRANSPORT,Haul Cycle,Site B,08:00,09:00,Upcoming,60,clear,intermediate,2024,,{}
SYN-T-0154,OP-014,M-1,EXCAVATION_LOAD,Excavation — Trench Digging,Site A,08:00,09:00,Completed,45,clear,intermediate,2061,,{}
SYN-T-0155,OP-015,M-3,EXCAVATION_LOAD,Material Loading,Site B,08:00,09:00,Completed,60,clear,intermediate,2098,,{}
SYN-T-0156,OP-016,M-5,HAUL_TRANSPORT,Haul Cycle,Site A,08:00,09:00,Completed,60,clear,intermediate,2135,,{}
SYN-T-0157,OP-017,M-1,EXCAVATION_LOAD,Excavation — Trench Digging,Site B,08:00,09:00,Upcoming,45,clear,intermediate,2172,,{}
SYN-T-0158,OP-018,M-3,EXCAVATION_LOAD,Material Loading,Site A,08:00,09:00,Completed,60,clear,intermediate,2209,,{}
SYN-T-0159,OP-019,M-5,HAUL_TRANSPORT,Haul Cycle,Site B,08:00,09:00,Completed,60,clear,intermediate,2246,,{}
SYN-T-0160,OP-020,M-1,EXCAVATION_LOAD,Excavation — Trench Digging,Site A,08:00,09:00,Completed,45,clear,intermediate,2283,,{}
SYN-T-0161,OP-001,M-3,EXCAVATION_LOAD,Material Loading,Site B,08:00,09:00,Upcoming,60,clear,intermediate,2320,,{}
SYN-T-0162,OP-002,M-5,HAUL_TRANSPORT,Haul Cycle,Site A,08:00,09:00,Completed,60,clear,intermediate,2357,,{}
SYN-T-0163,OP-003,M-1,EXCAVATION_LOAD,Excavation — Trench Digging,Site B,08:00,09:00,Completed,45,clear,intermediate,2394,,{}
SYN-T-0164,OP-004,M-3,EXCAVATION_LOAD,Material Loading,Site A,08:00,09:00,Completed,60,clear,intermediate,2431,,{}
SYN-T-0165,OP-005,M-5,HAUL_TRANSPORT,Haul Cycle,Site B,08:00,09:00,Upcoming,60,clear,intermediate,2468,,{}
SYN-T-0166,OP-006,M-1,EXCAVATION_LOAD,Excavation — Trench Digging,Site A,08:00,09:00,Completed,45,clear,intermediate,2505,,{}
SYN-T-0167,OP-007,M-3,EXCAVATION_LOAD,Material Loading,Site B,08:00,09:00,Completed,60,clear,intermediate,2542,,{}
SYN-T-0168,OP-008,M-5,HAUL_TRANSPORT,Haul Cycle,Site A,08:00,09:00,Completed,60,clear,intermediate,2579,,{}
SYN-T-0169,OP-009,M-1,EXCAVATION_LOAD,Excavation — Trench Digging,Site B,08:00,09:00,Upcoming,45,clear,intermediate,2616,,{}
SYN-T-0170,OP-010,M-3,EXCAVATION_LOAD,Material Loading,Site A,08:00,09:00,Completed,60,clear,intermediate,2653,,{}
SYN-T-0171,OP-011,M-5,HAUL_TRANSPORT,Haul Cycle,Site B,08:00,09:00,Completed,60,clear,intermediate,2690,,{}
SYN-T-0172,OP-012,M-1,EXCAVATION_LOAD,Excavation — Trench Digging,Site A,08:00,09:00,Completed,45,clear,intermediate,2727,,{}
SYN-T-0173,OP-013,M-3,EXCAVATION_LOAD,Material Loading,Site B,08:00,09:00,Upcoming,60,clear,intermediate,2764,,{}
SYN-T-0174,OP-014,M-5,HAUL_TRANSPORT,Haul Cycle,Site A,08:00,09:00,Completed,60,clear,intermediate,2801,,{}
SYN-T-0175,OP-015,M-1,EXCAVATION_LOAD,Excavation — Trench Digging,Site B,08:00,09:00,Completed,45,clear,intermediate,2838,,{}
SYN-T-0176,OP-016,M-3,EXCAVATION_LOAD,Material Loading,Site A,08:00,09:00,Completed,60,clear,intermediate,2875,,{}
SYN-T-0177,OP-017,M-5,HAUL_TRANSPORT,Haul Cycle,Site B,08:00,09:00,Upcoming,60,clear,intermediate,2912,,{}
SYN-T-0178,OP-018,M-1,EXCAVATION_LOAD,Excavation — Trench Digging,Site A,08:00,09:00,Completed,45,clear,intermediate,2949,,{}
SYN-T-0179,OP-019,M-3,EXCAVATION_LOAD,Material Loading,Site B,08:00,09:00,Completed,60,clear,intermediate,2986,,{}
SYN-T-0180,OP-020,M-5,HAUL_TRANSPORT,Haul Cycle,Site A,08:00,09:00,Completed,60,clear,intermediate,3023,,{}
SYN-T-0181,OP-001,M-1,EXCAVATION_LOAD,Excavation — Trench Digging,Site B,08:00,09:00,Upcoming,45,clear,intermediate,3060,,{}
SYN-T-0182,OP-002,M-3,EXCAVATION_LOAD,Material Loading,Site A,08:00,09:00,Completed,60,clear,intermediate,3097,,{}
SYN-T-0183,OP-003,M-5,HAUL_TRANSPORT,Haul Cycle,Site B,08:00,09:00,Completed,60,clear,intermediate,3134,,{}
SYN-T-0184,OP-004,M-1,EXCAVATION_LOAD,Excavation — Trench Digging,Site A,08:00,09:00,Completed,45,clear,intermediate,3171,,{}
SYN-T-0185,OP-005,M-3,EXCAVATION_LOAD,Material Loading,Site B,08:00,09:00,Upcoming,60,clear,intermediate,3208,,{}
SYN-T-0186,OP-006,M-5,HAUL_TRANSPORT,Haul Cycle,Site A,08:00,09:00,Completed,60,clear,intermediate,3245,,{}
SYN-T-0187,OP-007,M-1,EXCAVATION_LOAD,Excavation — Trench Digging,Site B,08:00,09:00,Completed,45,clear,intermediate,3282,,{}
SYN-T-0188,OP-008,M-3,EXCAVATION_LOAD,Material Loading,Site A,08:00,09:00,Completed,60,clear,intermediate,3319,,{}
SYN-T-0189,OP-009,M-5,HAUL_TRANSPORT,Haul Cycle,Site B,08:00,09:00,Upcoming,60,clear,intermediate,3356,,{}
SYN-T-0190,OP-010,M-1,EXCAVATION_LOAD,Excavation — Trench Digging,Site A,08:00,09:00,Completed,45,clear,intermediate,3393,,{}
SYN-T-0191,OP-011,M-3,EXCAVATION_LOAD,Material Loading,Site B,08:00,09:00,Completed,60,clear,intermediate,3430,,{}
SYN-T-0192,OP-012,M-5,HAUL_TRANSPORT,Haul Cycle,Site A,08:00,09:00,Completed,60,clear,intermediate,3467,,{}
SYN-T-0193,OP-013,M-1,EXCAVATION_LOAD,Excavation — Trench Digging,Site B,08:00,09:00,Upcoming,45,clear,intermediate,3504,,{}
SYN-T-0194,OP-014,M-3,EXCAVATION_LOAD,Material Loading,Site A,08:00,09:00,Completed,60,clear,intermediate,3541,,{}
SYN-T-0195,OP-015,M-5,HAUL_TRANSPORT,Haul Cycle,Site B,08:00,09:00,Completed,60,clear,intermediate,3578,,{}
SYN-T-0196,OP-016,M-1,EXCAVATION_LOAD,Excavation — Trench Digging,Site A,08:00,09:00,Completed,45,clear,intermediate,3615,,{}
SYN-T-0197,OP-017,M-3,EXCAVATION_LOAD,Material Loading,Site B,08:00,09:00,Upcoming,60,clear,intermediate,3652,,{}
SYN-T-0198,OP-018,M-5,HAUL_TRANSPORT,Haul Cycle,Site A,08:00,09:00,Completed,60,clear,intermediate,3689,,{}
