run_id,operator_id,scenario_id,score,hazard_response_sec,efficiency_score,safety_score,self_confidence,operator_profile
TR-0087,OP-007,SCN-27,84.4,2.22,84.4,94.4,91.2,INCONSISTENT
TR-0088,OP-008,SCN-28,83.3,2.48,83.3,93.3,88.7,NORMAL
TR-0089,OP-009,SCN-29,66.1,2.83,66.1,76.1,85.0,SLOW_BUT_SAFE
TR-0090,OP-010,SCN-30,89.2,2.09,89.2,99,89.9,INCONSISTENT
TR-0091,OP-011,SCN-01,87.5,2.19,87.5,97.5,92.9,NORMAL
TR-0092,OP-012,SCN-02,75.5,2.61,75.5,85.5,89.5,SLOW_BUT_SAFE
TR-0093,OP-013,SCN-03,87.8,2.34,87.8,97.8,97.2,INCONSISTENT
TR-0094,OP-014,SCN-04,83.1,2.45,83.1,93.1,87.5,NORMAL
TR-0095,OP-015,SCN-05,81.7,2.6,81.7,91.7,84.7,SLOW_BUT_SAFE
TR-0096,OP-016,SCN-06,68.2,2.93,68.2,78.2,82.6,INCONSISTENT
TR-0097,OP-017,SCN-07,65.2,3.09,65.2,75.2,78.4,NORMAL
TR-0098,OP-018,SCN-08,81.4,2.41,81.4,91.4,92.7,SLOW_BUT_SAFE
TR-0099,OP-019,SCN-09,91.0,2.24,91.0,99,93.8,INCONSISTENT
TR-0100,OP-020,SCN-10,73.4,2.52,73.4,83.4,85.5,NORMAL
TR-0101,OP-001,SCN-11,82,2.49,82,92,90,BLIND_SPOT
TR-0102,OP-002,SCN-12,58,3.26,58,68,90,FAST_BUT_RISKY
TR-0103,OP-003,SCN-13,90.1,2.29,90.1,99,97.2,NORMAL
TR-0104,OP-004,SCN-14,67.7,2.9,67.7,77.7,88.3,SLOW_BUT_SAFE
TR-0105,OP-005,SCN-15,76.3,2.75,76.3,86.3,88.4,INCONSISTENT
TR-0106,OP-006,SCN-16,64.2,2.91,64.2,74.2,79.1,NORMAL
TR-0107,OP-007,SCN-17,78.6,2.44,78.6,88.6,89.2,SLOW_BUT_SAFE
TR-0108,OP-008,SCN-18,86.4,2.41,86.4,96.4,90.6,INCONSISTENT
TR-0109,OP-009,SCN-19,91.2,2.31,91.2,99,92.0,NORMAL
TR-0110,OP-010,SCN-20,75.6,2.74,75.6,85.6,83.4,SLOW_BUT_SAFE
TR-0111,OP-011,SCN-21,75.8,2.73,75.8,85.8,90.5,INCONSISTENT
TR-0112,OP-012,SCN-22,69.7,2.76,69.7,79.7,88.7,NORMAL
TR-0113,OP-013,SCN-23,68.4,2.89,68.4,78.4,84.2,SLOW_BUT_SAFE
TR-0114,OP-014,SCN-24,68.2,2.97,68.2,78.2,82.9,INCONSISTENT
TR-0115,OP-015,SCN-25,62.8,2.92,62.8,72.8,78.8,NORMAL
TR-0116,OP-016,SCN-26,65.3,2.86,65.3,75.3,80.4,SLOW_BUT_SAFE
TR-0117,OP-017,SCN-27,71.6,2.54,71.6,81.6,85.6,INCONSISTENT
TR-0118,OP-018,SCN-28,89.2,2.32,89.2,99,90.9,NORMAL
TR-0119,OP-019,SCN-29,93.1,2.25,93.1,99,87.8,SLOW_BUT_SAFE
TR-0120,OP-020,SCN-30,80.1,2.64,80.1,90.1,88.8,INCONSISTENT
TR-0121,OP-001,SCN-01,82,2.33,82,92,90,BLIND_SPOT
TR-0122,OP-002,SCN-02,58,3.06,58,68,90,FAST_BUT_RISKY
TR-0123,OP-003,SCN-03,91.2,2.17,91.2,99,97.0,INCONSISTENT
TR-0124,OP-004,SCN-04,85.7,2.47,85.7,95.7,94.6,NORMAL
TR-0125,OP-005,SCN-05,77.1,2.55,77.1,87.1,85.3,SLOW_BUT_SAFE
TR-0126,OP-006,SCN-06,73.6,2.77,73.6,83.6,88.8,INCONSISTENT
TR-0127,OP-007,SCN-07,85.3,2.49,85.3,95.3,95.0,NORMAL
TR-0128,OP-008,SCN-08,94.3,2.22,94.3,99,94.4,SLOW_BUT_SAFE
TR-0129,OP-009,SCN-09,80.7,2.28,80.7,90.7,91.2,INCONSISTENT
TR-0130,OP-010,SCN-10,75.0,2.49,75.0,85.0,91.7,NORMAL
TR-0131,OP-011,SCN-11,69.1,2.76,69.1,79.1,83.1,SLOW_BUT_SAFE
TR-0132,OP-012,SCN-12,71.8,2.62,71.8,81.8,90.7,INCONSISTENT
TR-0133,OP-013,SCN-13,93.3,2.23,93.3,99,92.7,NORMAL
TR-0134,OP-014,SCN-14,76.5,2.39,76.5,86.5,90.7,SLOW_BUT_SAFE
TR-0135,OP-015,SCN-15,93.3,1.92,93.3,99,90.4,INCONSISTENT
TR-0136,OP-016,SCN-16,93.5,1.9,93.5,99,88.2,NORMAL
TR-0137,OP-017,SCN-17,68.7,2.84,68.7,78.7,89.1,SLOW_BUT_SAFE
TR-0138,OP-018,SCN-18,68.3,2.65,68.3,78.3,84.6,INCONSISTENT
TR-0139,OP-019,SCN-19,93.2,2.0,93.2,99,93.2,NORMAL
TR-0140,OP-020,SCN-20,72.9,2.86,72.9,82.9,87.8,SLOW_BUT_SAFE
TR-0141,OP-001,SCN-21,82,2.5,82,92,90,BLIND_SPOT
TR-0142,OP-002,SCN-22,58,3.21,58,68,90,FAST_BUT_RISKY
TR-0143,OP-003,SCN-23,65.7,2.91,65.7,75.7,81.7,SLOW_BUT_SAFE
TR-0144,OP-004,SCN-24,92.5,2.28,92.5,99,94.3,INCONSISTENT
TR-0145,OP-005,SCN-25,73.1,2.55,73.1,83.1,91.9,NORMAL
TR-0146,OP-006,SCN-26,80.7,2.35,80.7,90.7,93.2,SLOW_BUT_SAFE
TR-0147,OP-007,SCN-27,84.4,2.42,84.4,94.4,88.2,INCONSISTENT
TR-0148,OP-008,SCN-28,88.2,2.26,88.2,98.2,95.4,NORMAL
TR-0149,OP-009,SCN-29,61.4,3.07,61.4,71.4,82.9,SLOW_BUT_SAFE
TR-0150,OP-010,SCN-30,62.4,2.78,62.4,72.4,84.6,INCONSISTENT
TR-0151,OP-011,SCN-01,74.7,2.6,74.7,84.7,87.0,NORMAL
TR-0152,OP-012,SCN-02,72.7,2.66,72.7,82.7,91.1,SLOW_BUT_SAFE
TR-0153,OP-013,SCN-03,65.4,2.9,65.4,75.4,80.0,INCONSISTENT
TR-0154,OP-014,SCN-04,82.8,2.56,82.8,92.8,91.4,NORMAL
TR-0155,OP-015,SCN-05,87.1,2.4,87.1,97.1,91.1,SLOW_BUT_SAFE
TR-0156,OP-016,SCN-06,80.7,2.35,80.7,90.7,87.1,INCONSISTENT
TR-0157,OP-017,SCN-07,92.7,2.09,92.7,99,90.8,NORMAL
TR-0158,OP-018,SCN-08,86.3,2.36,86.3,96.3,92.0,SLOW_BUT_SAFE
TR-0159,OP-019,SCN-09,71.8,2.64,71.8,81.8,86.1,INCONSISTENT
TR-0160,OP-020,SCN-10,77.1,2.46,77.1,87.1,86.2,NORMAL
TR-0161,OP-001,SCN-11,82,2.33,82,92,90,BLIND_SPOT
TR-0162,OP-002,SCN-12,58,3.14,58,68,90,FAST_BUT_RISKY
TR-0163,OP-003,SCN-13,90.8,2.17,90.8,99,93.5,NORMAL
TR-0164,OP-004,SCN-14,66.7,2.81,66.7,76.7,81.2,SLOW_BUT_SAFE
TR-0165,OP-005,SCN-15,79.4,2.48,79.4,89.4,85.7,INCONSISTENT
TR-0166,OP-006,SCN-16,84.9,2.14,84.9,94.9,90.1,NORMAL
TR-0167,OP-007,SCN-17,70.3,2.65,70.3,80.3,84.5,SLOW_BUT_SAFE
TR-0168,OP-008,SCN-18,83.2,2.4,83.2,93.2,88.6,INCONSISTENT
TR-0169,OP-009,SCN-19,72.0,2.72,72.0,82.0,92.2,NORMAL
TR-0170,OP-010,SCN-20,72.3,2.61,72.3,82.3,85.8,SLOW_BUT_SAFE
TR-0171,OP-011,SCN-21,68.1,2.74,68.1,78.1,87.5,INCONSISTENT
TR-0172,OP-012,SCN-22,86.0,2.38,86.0,96.0,96.5,NORMAL
TR-0173,OP-013,SCN-23,66.7,2.76,66.7,76.7,87.2,SLOW_BUT_SAFE
TR-0174,OP-014,SCN-24,80.6,2.49,80.6,90.6,92.3,INCONSISTENT
TR-0175,OP-015,SCN-25,94.3,1.98,94.3,99,98.0,NORMAL
TR-0176,OP-016,SCN-26,72.6,2.77,72.6,82.6,84.0,SLOW_BUT_SAFE
TR-0177,OP-017,SCN-27,64.4,2.74,64.4,74.4,78.1,INCONSISTENT
TR-0178,OP-018,SCN-28,70.2,2.81,70.2,80.2,90.9,NORMAL
TR-0179,OP-019,SCN-29,86.3,2.09,86.3,96.3,86.5,SLOW_BUT_SAFE
TR-0180,OP-020,SCN-30,70.0,2.69,70.0,80.0,85.2,INCONSISTENT
TR-0181,OP-001,SCN-01,82,2.6,82,92,90,BLIND_SPOT
TR-0182,OP-002,SCN-02,58,3.0,58,68,90,FAST_BUT_RISKY
TR-0183,OP-003,SCN-03,90.2,2.01,90.2,99,87.9,INCONSISTENT
TR-0184,OP-004,SCN-04,77.2,2.63,77.2,87.2,88.9,NORMAL
TR-0185,OP-005,SCN-05,65.3,3.07,65.3,75.3,87.6,SLOW_BUT_SAFE
TR-0186,OP-006,SCN-06,63.0,2.98,63.0,73.0,80.0,INCONSISTENT
TR-0187,OP-007,SCN-07,74.6,2.67,74.6,84.6,88.3,NORMAL
TR-0188,OP-008,SCN-08,87.1,2.43,87.1,97.1,90.1,SLOW_BUT_SAFE
TR-0189,OP-009,SCN-09,70.4,2.72,70.4,80.4,86.7,INCONSISTENT
TR-0190,OP-010,SCN-10,79.9,2.66,79.9,89.9,83.7,NORMAL
TR-0191,OP-011,SCN-11,63.5,2.99,63.5,73.5,86.4,SLOW_BUT_SAFE
TR-0192,OP-012,SCN-12,69.3,2.67,69.3,79.3,80.2,INCONSISTENT
TR-0193,OP-013,SCN-13,79.3,2.45,79.3,89.3,84.6,NORMAL
TR-0194,OP-014,SCN-14,84.1,2.17,84.1,94.1,90.1,SLOW_BUT_SAFE
TR-0195,OP-015,SCN-15,70.1,2.9,70.1,80.1,82.9,INCONSISTENT
TR-0196,OP-016,SCN-16,62.5,2.88,62.5,72.5,79.7,NORMAL
TR-0197,OP-017,SCN-17,87.7,2.37,87.7,97.7,92.8,SLOW_BUT_SAFE
TR-0198,OP-018,SCN-18,66.9,2.73,66.9,76.9,79.8,INCONSISTENT
TR-0199,OP-019,SCN-19,65.2,2.75,65.2,75.2,81.0,NORMAL
TR-0200,OP-020,SCN-20,62.1,3.02,62.1,72.1,86.2,SLOW_BUT_SAFE
